Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50,1200,60000,30000,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50,1000,50000,15000,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40,1000,40000,14000,In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45,850,38250,13387.5,In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,50,1000,50000,12500,In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50,1250,62500,31250,In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,45000,13500,Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40,950,38000,13300,Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,37125,12993.75,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,60,900,54000,16200,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,50,1000,50000,12500,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50,1220,61000,30500,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50,925,46250,13875,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40,950,38000,13300,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45,800,36000,12600,Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,,850,51000,15300,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,50,950,47500,11875,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50,1200,60000,30000,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50,900,45000,13500,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40,900,36000,12600,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45,825,37125,12993.75,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,60,825,49500,14850,Outlet
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,50,950,47500,11875,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,60,1220,73200,36600,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,55,925,50875,15262.5,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50,900,45000,15750,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,50,850,42500,14875,Outlet
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,60,875,52500,15750,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,65,1000,65000,16250,Outlet
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,60,1250,75000,37500,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,55000,16500,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,50,925,46250,16187.5,Outlet
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's aparel,60,900,54000,16200,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,65,1050,68250,17062.5,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,60,1275,76500,38250,Outlet
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1025,56375,16912.5,Outlet
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,50,950,47500,16625,Outlet
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,45000,15750,Outlet
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,60,925,55500,16650,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,65,1100,71500,17875,Outlet
